,title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio,ROI
757,The Passion of the Christ (2004),611899420.0,30000000.0,83848082.0,7.1,127,205937.0,2.39,1939.6647333333335
708,Cabin Fever (2002),30553394.0,1500000.0,8633585.0,5.7,93,71846.0,2.39,1936.8929333333333
364,Home Alone 2: Lost in New York (1992),358991681.0,18000000.0,31126882.0,6.7,120,284360.0,1.85,1894.3982277777777
1776,The Visit (2015),98450062.0,5000000.0,25427560.0,6.2,94,107420.0,1.85,1869.00124
38,The Mask (1994),351583407.0,18000000.0,23117068.0,6.9,101,328506.0,1.85,1853.2411499999998
816,The Grudge (2004),187281115.0,10000000.0,39128715.0,5.9,91,135469.0,1.85,1772.81115
1635,Paranormal Activity: The Marked Ones (2014),90904854.0,5000000.0,18343611.0,5.0,84,38388.0,1.78,1718.09708
63,Aladdin (1992),504050219.0,28000000.0,196664.0,8.0,90,350284.0,1.66,1700.1793535714285
790,Fahrenheit 9/11 (2004),103251549.0,6000000.0,23920637.0,7.5,122,124210.0,1.85,1620.85915
66,Beauty and the Beast (1991),424967620.0,25000000.0,17754905.0,8.0,84,403693.0,1.78,1599.87048
916,Hostel (2005),80578934.0,4800000.0,19556099.0,5.9,94,163811.0,2.39,1578.7277916666667
389,The Bodyguard (1992),410900000.0,25000000.0,16611793.0,6.3,129,113069.0,1.85,1543.6
230,There's Something About Mary (1998),369884651.0,23000000.0,13740644.0,7.1,119,281752.0,1.85,1508.1941347826087
1833,Don't Breathe (2016),159047649.0,9900000.0,26411706.0,7.1,88,203175.0,2.35,1506.541909090909
253,The Jungle Book (1967),64000000.0,4000000.0,7708029.0,7.6,78,158249.0,1.75,1500.0
1584,The Conjuring (2013),318000141.0,20000000.0,41855326.0,7.5,112,419570.0,2.39,1490.000705
630,Jackass: The Movie (2002),79493831.0,5000000.0,2763437.0,6.6,87,78721.0,1.85,1489.87662
99,2001: A Space Odyssey (1968),190700000.0,12000000.0,202759.0,8.3,149,570705.0,2.20,1489.1666666666667
301,Rocky III (1982),270000000.0,17000000.0,16015408.0,6.8,99,165269.0,1.37,1488.235294117647
890,Cry Wolf (2005),15585495.0,1000000.0,4428209.0,5.8,90,25435.0,2.35,1458.5495
28,Dumb and Dumber (1994),247275374.0,16000000.0,16300000.0,7.3,107,340321.0,1.85,1445.4710875
671,Better Luck Tomorrow (2002),3809226.0,250000.0,360772.0,7.0,101,8803.0,1.85,1423.6904
911,Transamerica (2005),15151744.0,1000000.0,1452303.0,7.4,103,39589.0,1.85,1415.1744
860,Crash (2004),98410061.0,6500000.0,342709.0,7.8,112,409356.0,2.35,1414.0009384615385
1661,Neighbors (2014),268157400.0,18000000.0,49033915.0,6.3,97,275319.0,2.35,1389.7633333333333
1847,La La Land (2016),446092357.0,30000000.0,9242782.0,8.0,128,468934.0,2.55,1386.9745233333333
1681,Whiplash (2014),48982041.0,3300000.0,135388.0,8.5,106,663515.0,2.39,1384.3042727272727
434,Scary Movie (2000),278019771.0,19000000.0,42346669.0,6.2,88,223296.0,2.35,1363.2619526315789
980,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),261572744.0,18000000.0,26455463.0,7.3,84,341247.0,1.85,1353.1819111111113
800,Garden State (2004),35825316.0,2500000.0,201115.0,7.4,102,203570.0,2.35,1333.01264
1738,Fifty Shades of Grey (2015),571006128.0,40000000.0,94395000.0,4.1,125,287781.0,2.39,1327.51532
234,Rain Man (1988),354825435.0,25000000.0,7005719.0,8.0,133,455870.0,1.85,1319.30174
1075,Saw IV (2007),139352633.0,10000000.0,31756764.0,5.9,93,135360.0,1.85,1293.5263300000001
1214,The Hangover (2009),467483912.0,35000000.0,44979319.0,7.7,100,691934.0,2.39,1235.66832
62,Ghost (1990),290000000.0,22000000.0,12191540.0,7.0,127,187499.0,1.85,1218.1818181818182
1731,Kevin Hart: Let Me Explain (2013),32318051.0,2500000.0,10030463.0,6.8,75,8198.0,1.78,1192.7220399999999
896,Brokeback Mountain (2005),178062759.0,14000000.0,547425.0,7.7,134,310344.0,1.85,1171.8768499999999
1677,Boyhood (2014),50692666.0,4000000.0,1992448.0,7.9,165,324923.0,1.85,1167.31665
961,Little Miss Sunshine (2006),100523181.0,8000000.0,370782.0,7.8,101,422968.0,2.35,1156.5397624999998
0,Toy Story (1995),373554033.0,30000000.0,12491789.0,8.3,81,841840.0,1.78,1145.18011
251,"Honey, I Shrunk the Kids (1989)",222724172.0,18000000.0,14200000.0,6.3,93,136076.0,1.85,1137.356511111111
143,Scream (1996),173046663.0,14000000.0,6354586.0,7.2,111,272590.0,2.35,1136.047592857143
1686,The Purge: Anarchy (2014),110602999.0,9000000.0,29816675.0,6.4,103,131220.0,2.39,1128.9222111111112
335,American Pie (1999),132922000.0,11000000.0,18709680.0,7.0,95,362586.0,1.85,1108.3818181818183
260,Indiana Jones and the Temple of Doom (1984),333107271.0,28000000.0,33936113.0,7.6,118,425514.0,2.20,1089.668825
1823,The Purge: Election Year (2016),118685662.0,10000000.0,30870000.0,6.0,108,84847.0,2.39,1086.85662
64,Batman (1989),411348924.0,35000000.0,40489746.0,7.5,126,325500.0,1.85,1075.28264
1132,Mamma Mia! (2008),609841637.0,52000000.0,27751240.0,6.4,108,203930.0,2.39,1072.772378846154
1492,Beasts of the Southern Wild (2012),21080058.0,1800000.0,169702.0,7.3,93,78942.0,1.85,1071.1143333333334
40,Speed (1994),350448145.0,30000000.0,14800000.0,7.2,116,314996.0,2.39,1068.1604833333333
368,Fatal Attraction (1987),163500000.0,14000000.0,7602740.0,6.9,119,71499.0,1.85,1067.857142857143
295,Shakespeare in Love (1998),289317794.0,25000000.0,4224426.0,7.1,123,207485.0,2.39,1057.271176
469,Born on the Fourth of July (1989),161001698.0,14000000.0,172021.0,7.2,145,93302.0,2.20,1050.0121285714285
1529,Silver Linings Playbook (2012),236412453.0,21000000.0,443003.0,7.7,122,639079.0,2.35,1025.7735857142857
778,Purple Rain (1984),80000000.0,7200000.0,7766201.0,6.6,111,18504.0,1.85,1011.1111111111111
123,Unforgiven (1992),159157447.0,14400000.0,15018007.0,8.2,130,356837.0,2.35,1005.2600486111111
1615,Dallas Buyers Club (2013),55198285.0,5000000.0,260865.0,8.0,117,419252.0,2.35,1003.9657
1490,Ted (2012),549368315.0,50000000.0,54415205.0,6.9,106,553299.0,1.85,998.73663
1398,Bad Teacher (2011),216197492.0,20000000.0,31603106.0,5.6,92,186808.0,1.85,980.98746
482,Beverly Hills Cop II (1987),299965036.0,28000000.0,26348555.0,6.5,100,102457.0,2.39,971.3036999999999
1257,The Blind Side (2009),309208309.0,29000000.0,34119372.0,7.6,129,278317.0,1.85,966.235548275862
1169,Twilight (2008),392616625.0,37000000.0,69637740.0,5.2,122,406536.0,2.35,961.1260135135135
1462,Chronicle (2012),126636097.0,12000000.0,22004098.0,7.0,84,234124.0,1.85,955.3008083333333
928,Madea's Family Reunion (2006),63308879.0,6000000.0,30030661.0,5.2,107,10320.0,1.85,955.1479833333334
1164,Saw V (2008),113864059.0,10800000.0,30053954.0,5.8,92,110721.0,1.85,954.2968425925926
311,She's All That (1999),103166989.0,10000000.0,16065430.0,5.9,95,80927.0,1.85,931.66989
1296,The Twilight Saga: Eclipse (2010),698491347.0,68000000.0,83637242.0,5.0,124,218451.0,2.35,927.1931573529411
1700,The Maze Runner (2014),348319861.0,34000000.0,32512804.0,6.8,113,400514.0,2.39,924.4701794117648
238,Halloween II (1981),25533818.0,2500000.0,7676836.0,6.5,92,70625.0,2.35,921.35272
109,Romeo + Juliet (1996),147554998.0,14500000.0,11133231.0,6.7,120,202384.0,2.35,917.620675862069
1603,Don Jon (2013),30450756.0,3000000.0,8677009.0,6.5,90,222337.0,2.35,915.0252
481,Save the Last Dance (2001),131706809.0,13000000.0,27526443.0,6.2,112,55328.0,1.85,913.1293
1613,Bad Grandpa (2013),151831537.0,15000000.0,32055177.0,6.5,92,87404.0,1.85,912.2102466666666
1732,It Follows (2014),10100000.0,1000000.0,160089.0,6.8,100,196375.0,2.35,910.0
738,Presumed Innocent (1990),221300000.0,22000000.0,11718981.0,6.9,127,35814.0,1.85,905.9090909090909
302,Rocky IV (1985),300400000.0,30000000.0,19991537.0,6.9,91,177993.0,1.37,901.3333333333334
1304,The Kids Are All Right (2010),34705850.0,3500000.0,491971.0,7.0,106,122780.0,1.85,891.5957142857144
1757,Pitch Perfect 2 (2015),287506194.0,29000000.0,70300000.0,6.4,115,136310.0,1.85,891.4006689655173
125,Indiana Jones and the Last Crusade (1989),474171806.0,48000000.0,29400000.0,8.2,127,660875.0,2.20,887.8579291666666
346,The Color Purple (1985),146292009.0,15000000.0,1710333.0,7.8,154,74194.0,1.85,875.28006
340,Ghostbusters (1984),291632124.0,30000000.0,2085116.0,7.8,105,339445.0,2.20,872.10708
712,Day of the Dead (1985),34000000.0,3500000.0,1700000.0,7.2,96,60441.0,1.85,871.4285714285713
532,American Pie 2 (2001),287553595.0,30000000.0,45117985.0,6.4,108,231815.0,1.85,858.5119833333333
973,Step Up (2006),114194847.0,12000000.0,20659573.0,6.5,104,107266.0,2.39,851.6237249999999
329,Austin Powers: The Spy Who Shagged Me (1999),312016858.0,33000000.0,54917604.0,6.6,95,210088.0,2.39,845.5056303030303
1864,Hidden Figures (2016),235956898.0,25000000.0,22800057.0,7.8,127,184778.0,2.39,843.8275920000001
1316,Easy A (2010),74952305.0,8000000.0,17734040.0,7.1,92,342815.0,1.85,836.9038125
954,The Devil Wears Prada (2006),326551094.0,35000000.0,27537244.0,6.9,109,353545.0,2.35,833.0031257142856
1702,American Sniper (2014),547326372.0,58800000.0,89269067.0,7.3,133,418804.0,2.39,830.8271632653062
282,The Waterboy (1998),185991646.0,20000000.0,39414071.0,6.1,90,143050.0,1.85,829.9582300000001
1871,A Dog's Purpose (2017),204361517.0,22000000.0,18222810.0,7.2,100,60900.0,2.35,828.9159863636364
739,The Secret of My Success (1987),110996879.0,12000000.0,7766452.0,6.5,111,28123.0,1.85,824.9739916666666
991,The Santa Clause 3: The Escape Clause (2006),110768122.0,12000000.0,19504038.0,4.7,97,31112.0,1.85,823.0676833333334
718,Sleeping with the Enemy (1991),174999005.0,19000000.0,13777943.0,6.3,99,47498.0,1.85,821.0473947368421
851,Diary of a Mad Black Woman (2005),50652203.0,5500000.0,21905089.0,5.7,116,13233.0,1.85,820.9491454545455
1830,Bad Moms (2016),183936074.0,20000000.0,23817340.0,6.2,100,107967.0,2.39,819.68037
387,Wayne's World (1992),183100000.0,20000000.0,18100000.0,7.0,94,138221.0,1.85,815.4999999999999
817,Sideways (2004),109706931.0,12000000.0,207042.0,7.5,127,173935.0,1.85,814.2244249999999
1527,The Sessions (2012),9138338.0,1000000.0,113467.0,7.2,95,40449.0,1.85,813.8337999999999
26,Before Sunrise (1995),22600000.0,2500000.0,1423537.0,8.1,101,251686.0,1.85,803.9999999999999
1303,The Karate Kid (2010),359126022.0,40000000.0,55665805.0,6.2,140,153014.0,2.39,797.8150549999999
1388,Bridesmaids (2011),288383523.0,32500000.0,26247410.0,6.8,125,258084.0,2.39,787.3339169230769
1884,The Big Sick (2017),44328624.0,5000000.0,7529590.0,7.5,120,112541.0,1.85,786.5724799999999
1439,The Descendants (2011),177243185.0,20000000.0,1190096.0,7.3,115,227326.0,2.35,786.2159250000001
1850,Ouija: Origin of Evil (2016),79496033.0,9000000.0,14065500.0,6.1,99,50460.0,1.85,783.2892555555555
1720,Still Alice (2014),43884652.0,5000000.0,411000.0,7.5,101,121801.0,1.85,777.69304
1414,The Help (2011),216639112.0,25000000.0,26044590.0,8.1,146,407274.0,1.85,766.5564479999999
133,Star Trek II: The Wrath of Khan (1982),97000000.0,11200000.0,14347221.0,7.7,113,108599.0,2.20,766.0714285714286
1106,Step Up 2: The Streets (2008),150816700.0,17500000.0,22125429.0,6.2,98,77768.0,1.85,761.8097142857142
233,Out of Africa (1985),266185197.0,31000000.0,3637290.0,7.2,161,68007.0,1.37,758.6619258064516
519,Cocktail (1988),171504781.0,20000000.0,11789466.0,5.9,104,76476.0,1.85,757.523905
1466,Project X (2012),102731865.0,12000000.0,21051363.0,6.6,88,183094.0,1.85,756.098875
1327,Jackass 3D (2010),171000000.0,20000000.0,50353641.0,7.0,95,54979.0,1.78,755.0
121,Dead Poets Society (1989),140000000.0,16400000.0,340456.0,8.1,128,395189.0,1.85,753.6585365853658
1055,Superbad (2007),169871719.0,20000000.0,33052411.0,7.6,113,501299.0,1.85,749.358595
159,The Lost World: Jurassic Park (1997),618638999.0,73000000.0,90161880.0,6.6,129,361012.0,1.37,747.4506835616438
990,Saw III (2006),84635551.0,10000000.0,33610391.0,6.2,108,171973.0,1.85,746.35551
1657,Heaven Is for Real (2014),101332962.0,12000000.0,22522221.0,5.8,99,24909.0,2.39,744.4413499999999
350,Big (1988),151668774.0,18000000.0,8216190.0,7.3,104,188277.0,1.85,742.6043
786,Dodgeball: A True Underdog Story (2004),167722310.0,20000000.0,30070196.0,6.7,92,220960.0,2.39,738.61155
50,The Fugitive (1993),368875760.0,44000000.0,23758855.0,7.8,130,255005.0,1.85,738.354
297,First Blood (1982),125212904.0,15000000.0,6642005.0,7.7,93,215787.0,2.35,734.7526933333334
115,Escape from New York (1981),50000000.0,6000000.0,4162000.0,7.2,99,118033.0,2.35,733.3333333333333
1770,Magic Mike XXL (2015),122513057.0,14800000.0,11600000.0,5.6,115,50127.0,2.35,727.7909256756757
1654,Oculus (2013),41327693.0,5000000.0,12005402.0,6.5,104,111676.0,2.35,726.55386
932,Ice Age: The Meltdown (2006),660940780.0,80000000.0,68033544.0,6.8,91,245299.0,1.85,726.175975
1125,The Strangers (2008),82391145.0,10000000.0,20997985.0,6.2,86,113683.0,2.35,723.9114500000001
244,Lethal Weapon 2 (1989),227853986.0,28000000.0,20388800.0,7.2,114,155026.0,2.20,713.7642357142857
105,Robin Hood: Prince of Thieves (1991),390493908.0,48000000.0,25625602.0,6.9,143,171692.0,1.66,713.5289750000001
1694,Let's Be Cops (2014),138224951.0,17000000.0,17813722.0,6.4,104,124357.0,1.85,713.0879470588235
1224,500 Days of Summer (2009),60722734.0,7500000.0,3739702.0,7.7,95,455199.0,1.20,709.6364533333333
1010,Bridge to Terabithia (2007),137587063.0,17000000.0,28536717.0,7.1,96,136914.0,1.85,709.3356647058823
502,Shrek (2001),484409218.0,60000000.0,42347760.0,7.8,90,587407.0,1.75,707.3486966666667
1144,Star Wars: The Clone Wars (2008),68282844.0,8500000.0,14611273.0,5.9,98,53494.0,2.35,703.3275764705883
243,Lethal Weapon (1987),120207127.0,15000000.0,6829949.0,7.6,109,227254.0,1.85,701.3808466666666
1476,Think Like a Man (2012),96070507.0,12000000.0,33000000.0,6.5,122,42165.0,2.35,700.5875583333333
1218,The Proposal (2009),317375031.0,40000000.0,33627598.0,6.7,108,283193.0,2.39,693.4375775000001
1667,Begin Again (2013),63464861.0,8000000.0,134064.0,7.4,104,135329.0,1.85,693.3107625
717,Beethoven's 2nd (1993),118154166.0,15000000.0,6017225.0,4.9,89,24657.0,1.85,687.69444
518,Legally Blonde (2001),141774679.0,18000000.0,20377426.0,6.3,96,174363.0,2.39,687.6371055555555
1299,Despicable Me (2010),543113985.0,69000000.0,56397125.0,7.6,95,481487.0,1.85,687.1217173913044
1341,Skyline (2010),78693371.0,10000000.0,11692415.0,4.4,92,84998.0,2.35,686.93371
1641,The Lego Movie (2014),468760692.0,60000000.0,69050279.0,7.8,100,314365.0,1.37,681.2678199999999
1886,Resident Evil: The Final Chapter (2016),312242626.0,40000000.0,13601682.0,5.5,107,79361.0,2.39,680.6065649999999
3,Dangerous Minds (1995),179519401.0,23000000.0,14931503.0,6.5,99,46347.0,1.85,680.5191347826087
1558,Before Midnight (2013),23380979.0,3000000.0,246914.0,7.9,109,130528.0,1.85,679.3659666666666
737,Kindergarten Cop (1990),201957688.0,26000000.0,7918560.0,6.1,111,130335.0,1.85,676.7603384615384
1198,The Haunting in Connecticut (2009),77527732.0,10000000.0,23004765.0,5.9,92,57769.0,2.35,675.27732
49,Free Willy (1993),153698625.0,20000000.0,7868829.0,6.0,112,65669.0,2.39,668.493125
774,Mean Girls (2004),129042871.0,17000000.0,24432195.0,7.0,97,315277.0,1.85,659.0757117647059
1515,End of Watch (2012),53041274.0,7000000.0,13152683.0,7.6,109,219581.0,1.85,657.7324857142858
669,Phone Booth (2002),97837138.0,13000000.0,15021088.0,7.0,81,243327.0,2.39,652.5933692307692
423,Road Trip (2000),119754278.0,16000000.0,15484004.0,6.4,93,152703.0,1.85,648.4642375
385,Sister Act (1992),231600000.0,31000000.0,11894587.0,6.4,100,82738.0,1.85,647.0967741935484
1166,Beverly Hills Chihuahua (2008),149281606.0,20000000.0,29300465.0,3.8,91,21806.0,2.35,646.40803
1800,The Boy (2016),67159402.0,9000000.0,10778392.0,6.0,97,74119.0,2.35,646.2155777777778
288,Fletch (1985),59612888.0,8000000.0,7022970.0,6.9,98,45569.0,1.85,645.1611
15,Bad Boys (1995),141407024.0,19000000.0,15523358.0,6.9,119,226196.0,1.85,644.2474947368421
1816,Sausage Party (2016),141359583.0,19000000.0,33600000.0,6.1,89,167063.0,1.85,643.9978052631579
1910,Girls Trip (2017),140949423.0,19000000.0,31201920.0,6.2,122,32092.0,2.39,641.8390684210526
270,Rush Hour (1998),244386864.0,33000000.0,33001803.0,7.0,98,229119.0,2.39,640.5662545454545
184,I Know What You Did Last Summer (1997),125586134.0,17000000.0,15818645.0,5.7,101,127867.0,2.35,638.7419647058824
1804,10 Cloverfield Lane (2016),110216998.0,15000000.0,24702752.0,7.2,103,275387.0,2.35,634.7799866666667
1391,The Hangover Part II (2011),586764305.0,80000000.0,85946294.0,6.4,102,447262.0,2.39,633.4553812500001
1852,Manchester by the Sea (2016),62201310.0,8500000.0,4223828.0,7.8,137,229533.0,1.85,631.7801176470589
1035,Knocked Up (2007),219076518.0,30000000.0,30690990.0,6.9,129,340293.0,1.85,630.25506
1592,We're the Millers (2013),269994119.0,37000000.0,26419396.0,7.0,110,386096.0,2.39,629.7138351351351
317,Cruel Intentions (1999),75902208.0,10500000.0,258708.0,6.8,97,173392.0,1.85,622.8781714285715
351,Problem Child (1990),72270900.0,10000000.0,10000000.0,5.5,81,27209.0,1.85,622.709
838,Million Dollar Baby (2004),216763646.0,30000000.0,179953.0,8.1,132,608361.0,2.39,622.5454866666666
891,The Exorcism of Emily Rose (2005),144216468.0,20000000.0,30054300.0,6.7,119,114608.0,2.35,621.0823399999999
1778,Straight Outta Compton (2015),201634991.0,28000000.0,60200180.0,7.9,147,171869.0,2.39,620.1249678571428
201,Scream 2 (1997),172363301.0,24000000.0,32926342.0,6.2,120,150352.0,2.35,618.1804208333333
1696,If I Stay (2014),78874843.0,11000000.0,15679190.0,6.7,107,111627.0,2.35,617.0440272727272
873,Wedding Crashers (2005),285176741.0,40000000.0,33900720.0,6.9,119,322616.0,2.35,612.9418525
1740,Paper Towns (2015),85512300.0,12000000.0,12650140.0,6.3,109,91304.0,2.35,612.6025000000001
862,Madagascar (2005),532680671.0,75000000.0,61012130.0,6.9,86,348839.0,1.85,610.2408946666667
119,Aliens (1986),131060248.0,18500000.0,10052042.0,8.3,137,624975.0,1.85,608.433772972973
2,Ace Ventura: When Nature Calls (1995),212385533.0,30000000.0,37804076.0,6.4,90,195070.0,2.39,607.9517766666667
1190,Paul Blart: Mall Cop (2009),183293131.0,26000000.0,31832636.0,5.2,91,99128.0,1.85,604.9735807692308
1051,The Simpsons Movie (2007),526745137.0,75000000.0,74036787.0,7.3,87,300498.0,1.85,602.3268493333333
1021,300 (2006),456068181.0,65000000.0,70885301.0,7.6,117,711429.0,2.35,601.6433553846153
269,Indecent Proposal (1993),266600000.0,38000000.0,18300000.0,5.9,117,59497.0,1.85,601.578947368421
1813,The Shallows (2016),119100758.0,17000000.0,16800868.0,6.3,86,113452.0,2.35,600.592694117647
92,The First Wives Club (1996),181489203.0,26000000.0,18913411.0,6.4,103,40817.0,1.66,598.0353961538461
232,Terms of Endearment (1983),55800000.0,8000000.0,3498813.0,7.4,132,51995.0,1.85,597.5
615,Hot Shots! (1991),181096164.0,26000000.0,10848182.0,6.8,84,95134.0,1.85,596.5237076923077
428,Bird on a Wire (1990),138699000.0,20000000.0,15338160.0,6.0,110,38192.0,2.35,593.495
1294,Winter's Bone (2010),13831503.0,2000000.0,84887.0,7.2,100,131388.0,1.85,591.57515
1468,Act of Valor (2012),82497035.0,12000000.0,10121.0,6.5,110,64730.0,2.35,587.4752916666667
332,Big Daddy (1999),234801895.0,34200000.0,41536370.0,6.4,93,191676.0,1.85,586.5552485380117
1078,No Country for Old Men (2007),171627166.0,25000000.0,1226333.0,8.1,122,804693.0,2.39,586.5086640000001
820,The Incredibles (2004),631442092.0,92000000.0,70467623.0,8.0,115,629529.0,1.33,586.3501
1597,One Direction: This Is Us (2013),68532898.0,10000000.0,18472875.0,4.2,92,23117.0,1.85,585.32898
210,The Wedding Singer (1998),123306987.0,18000000.0,21917127.0,6.8,97,129350.0,1.85,585.0388166666667
16,Apollo 13 (1995),355237933.0,52000000.0,200645.0,7.6,140,255597.0,1.66,583.1498711538462
1097,Cloverfield (2008),170764026.0,25000000.0,46146546.0,7.0,85,361697.0,1.85,583.056104
296,Rambo: First Blood Part II (1985),300400432.0,44000000.0,25520843.0,6.5,96,147683.0,2.20,582.7282545454545
